date_time(UTC_PDT+7), stage_solinst(ft), stage_manual(ft), water_temperature(degC), discharge(cfs)
2011/07/31 16:48:00,  1.80,   NaN,   NaN, 140.99
2010/06/29 16:57:00,  2.38,   NaN,  5.80, 336.40
2010/07/09 19:00:00,  1.79,   NaN, 11.00, 129.40
2010/07/19 20:13:00,  1.62,   NaN,   NaN,   NaN
2010/07/19 22:30:00,  1.46,   NaN,   NaN,   NaN
2010/07/20 22:48:00,  1.43,   NaN, 18.00, 29.47
2010/08/04 20:19:00,  1.13,   NaN, 15.20, 18.60
2010/08/10 20:43:00,  1.06,   NaN, 13.80, 13.14
2010/09/11 18:09:00,  0.84,   NaN,  8.10,  3.46
2010/08/20 17:20:00,  0.96,   NaN, 10.10,  6.24
2010/09/10 22:28:00,  0.89,   NaN,   NaN,   NaN
2008/05/28 18:30:00,  1.40,   NaN,  3.70, 75.51
2008/06/02 19:00:00,  1.73,   NaN,   NaN, 133.97
2008/06/04 17:07:00,  1.90,  2.08,   NaN, 181.81
2008/06/05 22:30:00,  1.84,  1.90,   NaN, 156.65
2008/06/09 21:34:00,  1.87,  1.95,   NaN, 177.31
2008/06/10 18:30:00,  1.93,  2.05,   NaN, 184.50
2008/06/11 23:10:00,  1.88,  2.00, 10.50, 167.40
2008/06/17 17:18:00,  1.73,  1.89,  5.80, 132.70
2008/07/09 23:05:00,  1.16,   NaN, 16.30, 26.98
2008/07/14 23:00:00,  1.28,  1.63, 13.40,   NaN
2008/07/16 15:40:00,  1.18,  1.30,   NaN, 34.45
2008/07/25 18:54:00,  0.97,  1.07,   NaN,  9.83
2008/08/01 20:21:00,  0.89,  1.00, 19.20,  7.27
2008/08/01 21:41:00,  0.90,   NaN, 20.00,  8.79
2008/09/10 23:30:00,  0.69,   NaN, 15.10,  3.43
2008/09/19 20:05:00,  0.67,   NaN, 14.50,  0.91
2007/06/25 23:40:00,  0.98,  1.05, 16.60, 16.56
2007/07/03 00:33:00,  0.95,  0.98,   NaN,   NaN
2007/07/16 22:10:00,  0.84,   NaN, 20.30,  4.27
2007/07/31 00:05:00,  0.80,   NaN,   NaN,  2.02
2007/08/13 19:40:00,  0.74,  0.80, 15.00,  1.37
2007/08/20 19:15:00,  0.71,  0.75, 13.60,  1.20
2007/08/23 00:02:00,  0.72,  0.75, 19.50,  2.05
2007/09/04 23:18:00,  0.84,  0.90, 15.80,  6.82
2007/09/05 22:46:00,  0.84,  0.88, 15.00,  6.31
2007/09/06 22:22:00,  0.82,  0.87, 16.50,  5.67
2006/06/15 18:02:00,  2.17,  2.25,   NaN, 275.00
2006/06/17 03:27:00,  2.93,  3.05,   NaN,   NaN
2006/06/17 14:57:00,  2.48,  2.60,   NaN,   NaN
2006/06/20 14:43:00,  2.56,  2.65,   NaN,   NaN
2006/06/20 21:11:00,  2.46,  2.60,   NaN, 405.00
2006/06/22 19:12:00,  2.44,  2.55,  5.40, 381.00
2006/06/27 15:36:00,  2.37,  2.40,  4.80, 321.00
2006/06/27 16:16:00,  2.37,  2.45,   NaN, 321.00
2006/06/28 20:38:00,  2.62,  2.75,   NaN, 424.00
2006/06/28 20:36:00,  2.62,  2.75,   NaN, 424.00
2006/06/28 21:05:00,  2.64,  2.75,  7.50, 424.00
2006/06/29 16:05:00,  2.28,  2.40,   NaN,   NaN
2006/07/18 23:55:00,  1.54,  1.65,   NaN, 97.80
2006/07/24 18:02:00,  1.55,  1.60,   NaN, 95.40
2006/07/24 18:02:00,  1.55,  1.60,   NaN, 96.40
2006/07/26 18:35:00,  1.47,  1.55, 12.50, 85.90
2006/09/08 00:37:00,  0.85,  0.95, 15.60,   NaN
2006/09/11 20:29:00,  0.85,  0.90, 12.70,  7.84
2006/09/12 19:12:00,  0.85,  0.90,   NaN,   NaN
2006/09/21 00:07:00,  0.78,  0.85, 10.50,   NaN
2006/09/27 22:02:00,  0.77,  0.82,  9.90,  4.59
2009/05/14 20:00:00,  1.99,  2.05,   NaN, 204.65
2009/05/20 17:56:00,  2.30,  2.33,  3.60, 299.15
2009/05/26 16:57:00,  2.10,  2.15,  3.40, 236.18
2009/05/28 00:30:00,  2.23,  2.35,   NaN,   NaN
2009/06/15 17:10:00,  1.55,  1.60,  6.30, 92.83
2009/06/17 21:30:00,  1.65,  1.60, 12.30, 108.60
2009/06/24 22:00:00,  1.63,   NaN, 14.80, 100.38
2009/06/29 20:06:00,  1.56,   NaN,   NaN, 92.46
2009/07/14 20:39:00,  1.27,  1.25, 17.50, 25.52
2009/07/24 23:04:00,  1.16,  1.20, 19.50, 22.61
2009/08/04 17:15:00,  1.00,   NaN, 12.00, 15.21
2009/08/10 23:52:00,  0.93,   NaN, 15.40,  6.69
2009/08/12 21:30:00,  0.97,   NaN, 18.30,  5.06
2012/06/18 15:48:00,  1.25,  1.22,   NaN,  9.03
2012/06/25 20:15:00,  1.24,  1.02,   NaN,  4.37
2012/06/26 00:00:00,  1.22,  0.97,   NaN, 13.83
2012/07/02 23:15:00,  1.25,  1.00,   NaN, 10.84
2012/07/12 16:41:00,  1.06,  0.98,   NaN, 12.70
2012/07/16 22:20:00,  1.05,  0.93,   NaN,  9.81
2012/07/16 23:10:00,  1.06,  0.93,   NaN,  8.72
2012/07/23 17:00:00,  0.96,  0.90,   NaN,  7.56
2012/07/26 16:20:00,  0.90,  0.86,   NaN,  6.79
2012/07/30 17:40:00,  0.91,  0.85,   NaN,  3.15
2012/08/03 16:41:00,  0.86,  0.84,   NaN,  2.93
2012/08/07 22:20:00,  1.12,  0.87,   NaN,  5.72
2012/08/13 15:30:00,  0.89,  0.88,   NaN,  6.71
2012/08/21 20:53:00,  1.11,  0.95,   NaN, 10.02
2012/08/30 21:17:00,  1.03,  0.84,   NaN,   NaN
2012/09/04 18:47:00,  0.82,  0.80,   NaN,  6.82
2012/09/06 22:05:00,  0.88,  0.80,   NaN,   NaN
2012/09/10 22:50:00,  1.20,  0.80,   NaN,  6.89
2012/09/13 21:45:00,  1.03,  0.78,   NaN,   NaN
2012/09/24 15:02:00,  0.85,  0.71,   NaN,  1.50
2012/09/24 17:01:00,  0.90,  0.72,   NaN,  1.73
2013/06/12 19:13:00,  1.50,  1.45,   NaN, 62.15
2013/06/13 23:18:00,  1.41,  1.36,   NaN,   NaN
2013/06/17 16:48:00,  1.27,  1.26,   NaN, 36.16
2013/06/19 21:41:00,  1.27,  1.19,   NaN, 30.64
2013/06/24 14:57:00,  1.14,  1.14,   NaN, 23.87
2013/06/27 19:06:00,  1.22,  1.17,   NaN, 27.87
2013/07/08 21:50:00,  1.09,  1.03,   NaN, 15.17
2013/07/15 22:25:00,  1.21,  0.93,   NaN,  9.48
2013/07/22 19:40:00,  0.98,  0.88,   NaN,  6.89
2013/08/05 20:50:00,  0.91,  0.82,   NaN,  4.02
2013/08/05 21:20:00,  0.93,  0.82,   NaN,  4.37
2013/08/08 18:20:00,  0.77,  0.81,   NaN,  3.76
2013/08/16 17:30:00,  0.72,  0.74,   NaN,   NaN
2013/08/19 14:30:00,  0.71,  0.76,   NaN,  2.17
2013/08/20 21:10:00,  0.85,  0.88,   NaN,  6.46
2013/08/28 20:06:00,  0.82,  0.79,   NaN,  3.21
2013/09/05 16:38:00,  0.91,  0.75,   NaN,  2.11
2014/05/07 21:35:59,  1.43,  1.39,   NaN, 65.49
2014/05/08 21:58:00,  1.38,   NaN,   NaN, 44.87
2014/05/08 22:14:29,  1.38,  1.33,   NaN,   NaN
2014/05/28 21:35:00,  1.84,  1.79,   NaN, 143.66
2014/06/16 16:46:00,  1.28,   NaN,   NaN, 39.93
2014/06/16 17:06:59,  1.28,   NaN,   NaN,   NaN
2014/06/16 17:08:00,  1.28,  1.27,   NaN,   NaN
2014/06/23 21:21:00,  1.21,  1.13,   NaN,   NaN
2014/07/16 15:52:00,  1.08,  1.00,   NaN, 12.80
2014/07/21 18:00:00,  1.10,  1.02,   NaN,   NaN
2014/08/11 18:06:59,  1.11,  1.07,   NaN,   NaN
2014/08/27 21:16:00,  0.97,  0.84,   NaN,   NaN
2014/08/27 21:37:00,  0.97,   NaN,   NaN,  5.59
2014/09/11 00:00:00,  0.90,  0.78,   NaN,   NaN
2014/09/25 15:00:00,  0.75,  0.74,   NaN,   NaN
2014/10/23 19:05:00,  0.72,  0.71,   NaN,   NaN
2015/05/19 16:05:00,  1.19,  1.21,   NaN, 29.17
2015/05/20 18:56:00,  1.23,  1.24,   NaN,   NaN
2015/05/26 17:55:00,  1.50,  1.49,   NaN, 71.58
2015/05/27 18:45:00,  1.58,  1.55,   NaN, 84.44