date_time(UTC:LDTplus7), instrument_stage(cm), instrument_stage_used(cm), manual_stage(cm), water_temperature(degC), discharge(cfs)
2009/06/15 00:59:00, 44.79, 44.79, 45.24, 11.10, 20.08
2009/06/22 17:30:00, 43.40, 43.40, 43.00,  8.40, 19.38
2009/06/26 18:20:00, 40.03, 40.03, 41.00,   NaN,   NaN
2009/07/01 18:33:00, 38.08,   NaN, 39.14,   NaN, 25.72
2009/07/03 10:27:00, 38.21, 38.21, 34.75,   NaN,   NaN
2009/07/15 17:15:00, 26.40,   NaN, 27.00, 15.40,  8.88
2009/07/15 17:50:00, 26.77,   NaN, 26.50,   NaN,   NaN
2009/07/19 21:15:00, 24.90, 24.90, 24.00, 21.80,  2.26
2009/07/24 17:30:00, 21.90, 21.90, 21.00, 18.10,  2.82
2009/08/07 19:38:00, 18.33, 18.33, 18.50, 16.00,  1.46
2008/05/28 18:08:00, 43.89, 43.89,   NaN,   NaN, 25.02
2008/06/04 21:46:00, 58.72, 58.72, 58.02,   NaN, 43.94
2008/06/11 20:26:00, 55.97, 55.97, 55.40,  8.50, 38.95
2008/06/16 17:10:00, 50.32, 50.32, 50.95,  5.80, 30.15
2008/06/23 17:00:00, 41.95, 41.95, 42.06,  6.80, 18.28
2008/07/07 17:01:00, 27.32, 27.32, 27.50, 15.20,  4.78
2008/07/10 18:50:00, 24.58, 24.58, 25.00,   NaN,   NaN
2008/07/14 21:27:00, 24.37, 24.37, 24.00, 19.40,   NaN
2008/07/15 16:56:00, 31.98, 31.98, 27.60, 14.10,  8.23
2008/07/23 21:25:00, 19.00, 19.00, 18.50, 23.60,  1.16
2008/07/28 22:05:00, 15.57, 15.57, 16.00, 23.60,  0.99
2008/08/04 19:22:00, 11.98, 11.98, 12.00, 18.20,  0.27
2010/06/30 16:21:00, 65.19, 65.19, 66.00,  5.00, 57.67
2010/07/07 18:42:00, 48.22, 48.22, 48.70,  9.20, 27.41
2010/07/13 19:00:00, 41.90, 41.90,   NaN, 12.70, 16.74
2010/07/20 20:44:00, 31.50, 31.50, 33.30, 17.70,  8.40
2010/07/20 21:27:00, 31.77, 31.77, 32.70,   NaN,   NaN
2010/07/26 17:30:00, 30.30,   NaN, 32.00, 13.10, 15.06
2010/07/26 18:12:00, 30.34,   NaN, 31.50,   NaN,   NaN
2010/08/03 21:03:00, 20.40, 20.40, 21.50, 18.40,  2.30
2010/08/18 18:22:00, 13.86, 13.86, 15.50,   NaN,   NaN
2010/09/09 22:41:00,  6.14,  6.14,  7.50,   NaN,   NaN
2011/07/27 20:39:00, 44.74, 44.74, 44.30,   NaN,   NaN
2011/07/28 22:33:00, 43.36, 43.36, 43.80, 16.80, 19.02
2011/07/28 23:24:00, 43.43, 43.43, 43.80, 16.80, 19.02
2011/08/05 21:10:00, 37.28, 37.28, 37.20,   NaN,   NaN
2011/08/05 21:37:00, 37.45, 37.45, 36.60,   NaN,   NaN
2011/08/07 19:11:00, 37.72, 37.72, 36.10, 11.00,   NaN
2011/08/07 18:49:00, 37.70, 37.70,   NaN,   NaN, 11.20
2012/08/28 22:35:00,  6.22,  6.22,  4.70,   NaN,  0.00
2013/08/06 23:26:00,  4.88,  4.88,  5.24,   NaN,  0.00
2014/07/29 22:52:00, 12.75, 12.75, 11.60,   NaN,  0.00
2015/07/01 01:48:00,   NaN,   NaN, 21.50,   NaN,   NaN