date_time(UTC:LDT+7), stage_from_solinst(ft), stage_manually_measured(ft), water_temperature(degC), discharge_manual(cfs)
2004/07/15 22:35:00,   NaN,   NaN, 13.80, 41.63
2003/07/22 18:05:00,   NaN,   NaN, 11.00, 52.80
2003/10/29 19:00:00,   NaN,   NaN,  6.60,   NaN
2011/08/11 18:10:00,  7.65,   NaN,   NaN, 64.12
2011/08/11 18:41:00,  7.61,   NaN,   NaN,   NaN
2010/07/19 18:31:00,  7.83,   NaN,   NaN,   NaN
2010/08/25 00:00:00,  7.03,   NaN,   NaN,   NaN
2010/09/18 20:09:00,  6.66,   NaN, 11.90,  5.79
2009/07/28 21:15:00,  7.45,   NaN,   NaN, 87.14
2009/08/11 19:51:00,  7.10,   NaN,   NaN, 19.95
2008/06/10 19:00:00,  7.10,  8.14,  3.30,   NaN
2008/08/03 22:52:00,  7.05,   NaN, 17.40, 20.83
2008/09/10 19:54:00,  6.80,  7.09,  9.60,  6.49
2006/09/18 20:30:00,  6.72,  7.04,   NaN,   NaN
2006/08/15 22:00:00,  7.24,   NaN,   NaN, 28.50
2007/06/11 16:50:00,  7.38,  7.69,   NaN,   NaN
2007/06/27 19:00:00,  7.29,  7.56, 10.00,   NaN
2007/06/27 23:00:00,  7.27,  7.60, 12.80,   NaN
2007/06/28 03:00:00,  7.42,  7.74, 10.20,   NaN
2007/06/28 07:00:00,  7.47,  7.76,  8.40,   NaN
2007/06/28 11:00:00,  7.42,  7.71,  7.00,   NaN
2007/06/28 15:00:00,  7.35,  7.65,  5.90,   NaN
2007/07/10 19:45:00,  7.36,  7.64,   NaN,   NaN
2007/05/29 18:20:00,  7.69,  7.99,  4.50,   NaN
2007/05/29 20:17:00,  7.75,  7.98,   NaN, 66.80
2007/05/29 19:50:00,  7.72,  7.98,   NaN,   NaN
2007/06/11 21:55:00,  7.36,  7.66,  9.40, 30.03
2007/06/20 21:50:00,  7.41,   NaN,   NaN, 38.70
2007/05/22 19:17:00,  7.53,  7.86,  3.80,   NaN
2005/08/19 20:40:00,  7.33,   NaN,   NaN, 31.83
2005/10/20 16:50:00,  6.37,   NaN,  0.90,   NaN
2005/09/03 21:04:00,  7.06,  7.71, 11.50,   NaN
2005/08/19 02:02:00,  7.41,   NaN, 10.20,   NaN
2005/07/19 01:27:00,  8.61,   NaN,  5.70, 169.15
2005/07/19 15:26:00,  8.14,   NaN,   NaN, 81.78
2005/07/04 00:50:00,  8.42,   NaN,  4.00, 141.67
2005/07/04 15:10:00,  8.15,   NaN,  1.10, 76.40
2012/07/05 00:33:00,  7.47,  7.41, 12.00,   NaN
2012/07/18 23:40:00,  7.17,  7.10, 12.00,   NaN
2012/08/07 22:43:00,  7.23,  7.20,   NaN,   NaN
2012/08/08 17:50:00,  7.29,  7.27,   NaN,   NaN
2012/08/21 22:07:00,  7.14,  8.08,   NaN,   NaN
2012/08/23 16:01:59,  7.34,  7.37,   NaN, 28.00
2012/09/11 22:45:00,  7.00,  6.99,   NaN, 22.90
2012/09/19 00:33:29,  6.76,  6.80,   NaN,  8.76
2013/06/25 21:05:00,  7.59,  7.59,  9.60,   NaN
2013/07/09 20:25:00,  7.26,  7.26,   NaN, 21.70
2013/07/23 18:29:59,  7.29,  7.33,   NaN, 30.90
2013/07/27 17:22:00,  7.23,  7.29,   NaN,   NaN
2013/07/30 17:20:00,  7.12,  7.16,   NaN,   NaN
2013/08/06 20:30:00,  6.97,  7.01,   NaN, 11.90
2013/08/20 20:02:00,  7.23,  6.28, 14.90,   NaN
2013/08/21 00:10:00,  7.14,  7.20, 14.60,   NaN
2013/08/21 15:43:29,  7.13,  7.18,   NaN, 22.30
2013/08/21 16:44:29,  7.11,  7.16,   NaN, 19.10
2013/08/21 17:15:00,  7.10,  7.15,   NaN, 18.80
2013/08/21 18:11:29,  7.10,  7.14,   NaN, 18.70
2013/09/03 22:00:00,  7.00,  6.99,   NaN, 12.20
2013/09/23 22:07:00,  6.80,  6.77,  9.00,   NaN
2014/06/11 01:42:00,  8.10,   NaN,   NaN, 105.70
2014/06/11 01:46:59,  8.11,  8.01,   NaN,   NaN
2014/06/11 04:34:59,  8.12,   NaN,   NaN, 112.20
2014/06/11 04:36:59,  8.12,  8.04,   NaN,   NaN
2014/06/11 04:54:29,  8.12,  8.02,   NaN,   NaN
2014/06/11 04:56:00,  8.12,   NaN,   NaN, 109.06
2014/06/23 22:27:00,  7.36,   NaN,   NaN, 23.95
2014/06/23 22:31:59,  7.36,  7.32,   NaN,   NaN
2014/07/07 20:54:00,  7.20,  7.18, 11.20,   NaN
2014/07/16 18:45:00,  7.22,  8.21,   NaN,   NaN
2014/08/13 23:55:00,  6.98,  6.95, 14.60,   NaN
2014/09/16 15:04:59,  6.88,   NaN,   NaN,   NaN
2014/09/16 17:16:29,  6.87,  6.88,   NaN,   NaN
2014/09/16 17:32:59,  6.87,   NaN,   NaN,  8.47