date_time(UTC:LDT+7), instrument_stage(ft), manual_stage(ft), manual_discharge(cfs)
2012/07/04 22:32:00,   NaN,  9.87, 17.57
2012/07/18 22:25:00,   NaN,  9.73, 13.50
2012/08/08 15:02:00,   NaN,  9.75,   NaN
2012/08/23 00:08:00,  9.97, 10.00,   NaN
2012/09/11 21:05:00,  9.65,  9.65,  7.06
2012/09/19 21:40:00,  9.49,  9.49,  4.17
2013/06/25 23:43:00, 10.02, 10.02,   NaN
2013/07/09 23:20:00,  9.79,  9.79, 11.28
2013/07/23 21:10:00,  9.79,  9.80, 11.70
2013/07/30 19:52:00,  9.70,  9.70,   NaN
2013/08/06 22:40:00,  9.62,  9.62,  6.07
2013/08/20 21:07:00,  9.76,  9.78, 12.41
2013/09/03 20:22:00,  9.60,  9.60,  5.41
2013/09/23 20:31:00,  9.48,  9.50,   NaN
2014/06/24 00:14:00,   NaN,  9.93, 20.18
2014/07/07 20:25:00,   NaN,  9.74,   NaN
2014/07/16 19:50:00,   NaN,  9.75,   NaN
2014/08/13 21:57:00,   NaN,  9.62,   NaN
2014/09/15 22:18:59,  9.48,   NaN,   NaN
2014/09/16 00:35:00,  9.48,  9.47,  2.29
2015/06/24 21:00:00,  9.77,  9.77,   NaN
2015/06/24 21:52:00,  9.78,  9.79,   NaN
2015/06/24 23:18:00,  9.81,   NaN, 14.00
2015/06/24 23:39:00,  9.82,  9.83,   NaN